Name,Position,Kill Avg,Death Avg,Assist Avg,Pentakill Avg
128. Kog'Maw AD Carry 8.5 / 7.2 / 7.3 0.0055
129. Elise Jungler 7.6 / 6.1 / 7.9 0.0004
130. Maokai Support 2.9 / 6.7 / 11.8 0.0001
131. Cassiopeia Mid 7.1 / 6.8 / 6.3 0.0011
132. Annie Mid 6.9 / 6.7 / 8.3 0.0005
133. Udyr Jungler 6.2 / 5.8 / 7.7 0.0008
134. Kennen Top 5.7 / 6.1 / 6.6 0.0007
135. Gnar Top 5.5 / 6.1 / 6.9 0.0010
136. Shyvana Jungler 7.2 / 5.8 / 6.9 0.0020
137. Sejuani Jungler 5.3 / 5.5 / 11.8 0.0001
138. Varus AD Carry 7.7 / 6.9 / 7.7 0.0024
139. Wukong Top 6.7 / 6.0 / 6.3 0.0009
140. Rammus Jungler 5.1 / 6.1 / 11.9 0.0002
141. Kalista AD Carry 8.8 / 7.0 / 6.3 0.0044
142. Rek'Sai Jungler 8.9 / 6.6 / 7.4 0.0003
143. Heimerdinger Top, Mid 5.4 / 7.0 / 7.1 0.0003
144. Rell Support 2.2 / 7.2 / 14.7 0.0000
145. Illaoi Top 5.1 / 7.1 / 4.9 0.0006
146. Yorick Top 4.5 / 5.5 / 4.5 0.0009
147. Kled Top 6.5 / 6.3 / 7.6 0.0012
148. Taric Support 2.1 / 6.5 / 14.4 0.0000
149. Neeko Mid, Support 5.6 / 6.7 / 8.1 0.0005
150. Taliyah Jungler 8.0 / 7.0 / 9.1 0.0019
151. Rumble Top, Mid 6.9 / 6.7 / 7.7 0.0008
152. Azir Mid 5.6 / 6.5 / 6.9 0.0014
153. Quinn Top 7.6 / 7.6 / 7.0 0.0012
154. Ivern Jungler 2.6 / 5.4 / 13.6 0.0000
155. Olaf Jungler 7.0 / 6.6 / 7.0 0.0015
156. Aurelion Sol Mid 6.6 / 6.6 / 9.5 0.0006
157. Skarner Jungler 4.7 / 5.7 / 10.4 0.0000
